"jurisdiction","state","regime_type","permit_fee","renewal_cadence","ordinance_or_program_url","enforcement_vendor","notes","source_url","collected_on"
"Birmingham","Alabama","permit","","","https://gisweb.birminghamal.gov/PEPPublicMeetings/ZAC/2024/Documents/PEPMTG_ZACSR_071624.pdf","","Birmingham, Alabama still has no short-term rental ordinance in 2026: what the business license, tax layers, and a pending permit cap mean for hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Birmingham-Alabama-guide","2026-09-03"
"Dothan","Alabama","license","","annual","https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB150-eng.pdf","Avenu","Dothan's short-term rental rules in 2026, including which zones allow a whole-house Airbnb, what the city business license costs, and the 14% lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Dothan-Alabama-guide","2026-09-03"
"Gulf Shores","Alabama","license","","annually","","","Gulf Shores, Alabama Short Term Rental Regulations Guide for Airbnb hosts Gulf Shores, Alabama Regulations > Alabama > Gulf Shores Want to see how Gulf Shores compares to other top cities in Alabama ? Explore all city regulations in Alabama . → B Gulf Shores , AL Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and lice","https://strprofitmap.com/regulations/AL/gulf-shores","2026-09-03"
"Huntsville","Alabama","permit","","annual","https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB150-eng.pdf","","Huntsville, Alabama short-term rental rules for 2026, covering which zones allow Airbnb, what the license and 9% lodging tax cost, and how the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Huntsville-Alabama-guide","2026-09-03"
"Mobile","Alabama","permit","","annually","https://myalabamataxes.alabama.gov","","How Mobile, Alabama regulates Airbnb and Vrbo hosts in 2026, covering the Conditional Use Permit, business license, and combined lodging tax near 16 percent.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Mobile-Alabama-guide","2026-09-03"
"Orange Beach","Alabama","license","","annual","","","Orange Beach, Alabama Short Term Rental Regulations Guide for Airbnb hosts Orange Beach, Alabama Regulations > Alabama > Orange Beach Want to see how Orange Beach compares to other top cities in Alabama ? Explore all city regulations in Alabama . → C Orange Beach , AL Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and li","https://strprofitmap.com/regulations/AL/orange-beach","2026-09-03"
"Fairbanks","Alaska","permit","","annually","https://www.commerce.alaska.gov/web/cbpl/BusinessLicensing/BusinessLicensingFAQs.aspx","","Fairbanks short-term rental rules for 2026: zoning allows most Airbnbs outright, but the city and borough each run a separate 8% room tax you collect yourself.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fairbanks-Alaska-guide","2026-09-03"
"Avondale","Arizona","license","$250","","https://avondaleaz.gov/app/uploads/2026/04/City-Code-13-180-Short-Term-Rentals.pdf","","Avondale, Arizona short-term rental rules for 2026, the city's $250 license, an 11.77% combined tax, and how strictly Ordinance 2060-1023 gets enforced. Avondale, Arizona short-term rental rules for 2026, the city's $250 license, an 11.77% combined tax, and how strictly Ordinance 2060-1023 gets enforced.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Avondale-Arizona-guide","2026-09-03"
"Chandler","Arizona","license","$250","every year","https://mcassessor.maricopa.gov/","","Chandler, Arizona short-term rental rules for 2026: the $250 Chapter 22 license, the new ADU and guest-house rental ban, tax rates, and who enforces it. Chandler, Arizona short-term rental rules for 2026: the $250 Chapter 22 license, the new ADU and guest-house rental ban, tax rates, and who enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Chandler-Arizona-guide","2026-09-03"
"Flagstaff","Arizona","license","$250","annual","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","","Flagstaff's 2026 short-term rental rules: the $250 city license, the new $500,000 insurance and guest background-check duties, and 11.386% in lodging tax. Flagstaff's 2026 short-term rental rules: the $250 city license, the new $500,000 insurance and guest background-check duties, and 11.386% in lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Flagstaff-Arizona-guide","2026-09-03"
"Gilbert","Arizona","license","$100","annually","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","GovOS","Gilbert, Arizona short-term rental rules for 2026, covering the town's $100 STR license, the new 14.27% combined tax rate, and a fee hike headed to a vote. Gilbert, Arizona short-term rental rules for 2026, covering the town's $100 STR license, the new 14.27% combined tax rate, and a fee hike headed to a vote.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Gilbert-Arizona-guide","2026-09-03"
"Glendale","Arizona","license","","","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","Avenu; GovOS; MUNIRevs","Glendale, Arizona short-term rental rules for 2026: the free city registration, the 2024 neighbor-notice law, TPT rates, and real enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Glendale-Arizona-guide","2026-09-03"
"Goodyear","Arizona","license","$250","annual","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","","Goodyear, Arizona short-term rental rules for 2026, the city's $250 STR license, a 12.27% combined tax, and how Article 8-2 actually gets enforced. Goodyear, Arizona short-term rental rules for 2026, the city's $250 STR license, a 12.27% combined tax, and how Article 8-2 actually gets enforced.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Goodyear-Arizona-guide","2026-09-03"
"Phoenix","Arizona","permit","$250","","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","","The permit fee is $250 a year, and unpermitted operating draws $1,000 monthly penalties. Phoenix short-term rental rules for 2026, including the required city permit, the new ADU owner-occupancy rule, every tax layer, and how the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/phoenix-arizona-guide","2026-09-03"
"Scottsdale","Arizona","license","$250","annual","https://azdor.gov/business/transaction-privilege-tax/residential-rental-guidelines","","The annual license fee is $250, and unlicensed operating draws $1,000 penalties per month. How Scottsdale short-term rental rules work in 2026: the required city license, the taxes you collect, Arizona state law, and how strictly it is all enforced.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Scottsdale-Arizona-guide","2026-09-03"
"Sedona","Arizona","license","","annually","","","Sedona, Arizona Short Term Rental Regulations Guide for Airbnb hosts Sedona, Arizona Regulations > Arizona > Sedona Want to see how Sedona compares to other top cities in Arizona ? Explore all city regulations in Arizona . → C Sedona , AZ Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for Sedona . Co","https://strprofitmap.com/regulations/AZ/sedona","2026-09-03"
"Tempe","Arizona","license","$250","annual","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","","Tempe short-term rental rules in 2026: the $250 city license, 14.07% combined tax, insurance rules, and how strictly the city enforces them. Tempe short-term rental rules in 2026: the $250 city license, 14.07% combined tax, insurance rules, and how strictly the city enforces them.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Tempe-Arizona-guide","2026-09-03"
"Tucson","Arizona","permit","","annual","https://azdor.gov/business/transaction-privilege-tax/short-term-lodging","","Tucson short-term rental rules for 2026: the new 10% city tax effective March 1, the registration steps, and why there's still no dedicated STR permit.","https://www.bnbcalc.com/blog/short-term-rental-regulation/tucson-arizona-guide","2026-09-03"
"Fayetteville","Arkansas","license","","annually","https://egov.fayetteville-ar.gov/EnerGov_Prod/SelfService#/home","Host Compliance","Fayetteville, Arkansas short-term rental rules for 2026, the Type 1 and Type 2 license system, the 475 waitlist, tax rates, and what changed in December 2025.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fayetteville-Arkansas-guide","2026-09-03"
"Fort Smith","Arkansas","permit","","annual","https://library.municode.com/ar/fort_smith/codes/code_of_ordinances?nodeId=COOR_CH27UNDEOR_ART27-200GEDE","Avenu","Fort Smith has no short-term rental ordinance heading into 2026, so hosts run on general zoning, a city business license, and 14.5% combined tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fort-Smith-Arkansas-guide","2026-09-03"
"Little Rock","Arkansas","permit (primary-residence limited)","$500","annual","https://littlerock.gov/wp-content/uploads/application-fee-ordinance.pdf","","Little Rock's 2023 ordinance splits short-term rentals into owner-occupied (STR-1) and non-owner-occupied (STR-2) permits, caps the total at 500 citywide, charges annual inspection fees up to $500, and layers on roughly Little Rock short-term rental rules for 2026, covering the 500-unit cap, STR-1 vs STR-2 permits, fees, taxes and how the city actually enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Little-Rock-Arkansas-guide","2026-09-03"
"Alameda County","California","permit","","annual","https://alamedacounty-ca.elaws.us/code/coor_title17","Avenu","Alameda County short-term rental rules in 2026: the unincorporated county's 10% hotel tax, why there's no county permit, and how its 14 cities differ.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Alameda-County-California-Guide","2026-09-03"
"Alameda Park","California","permit (primary-residence limited)","","annually","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","Avenu","Alameda, California short-term rental rules for 2026: no permit exists yet, just a 14% hotel tax, and a new ordinance is headed to City Council.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Alameda-Park-California-guide","2026-09-03"
"Alhambra","California","permit","$395","annually","https://alhambraca.gov/DocumentCenter/View/7697/Master-Fee-Schedule-Effective-03-01-26","","Yes, Alhambra allows short-term rentals in 2026 through a capped permit program: 500 active citywide permits, a $395 permit fee, a paid safety inspection, and a separate business license. Alhambra's 2026 short-term rental rules: the 500-permit cap, licensing costs, and why the city's 12% hotel tax doesn't yet apply to Airbnb hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Alhambra-California-guide","2026-09-03"
"Anaheim","California","permit","","annually","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&amp;sectionNum=4741.","","Anaheim short-term rental rules for 2026: why new STR permits stopped in 2016, who still qualifies, the 15% occupancy tax, and how enforcement actually works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Anaheim-California-guide","2026-09-03"
"Antioch","California","permit","","annual","https://codelibrary.amlegal.com/codes/antioch/latest/antioch_ca/0-0-0-20090","","Antioch short-term rental rules in 2026: no dedicated STR ordinance, but a business license and 10 percent occupancy tax apply to every Airbnb and Vrbo host.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Antioch-California-guide","2026-09-03"
"Apple Valley","California","permit","$1,946","annual","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&amp;sectionNum=4741.","","The Town of Apple Valley allows short-term rentals in its residential districts, but only with a Special Use Permit, and that application starts at a $1,946 deposit. How Apple Valley, California regulates Airbnb and Vrbo in 2026: the Special Use Permit, the annual inspection, the 7% lodging tax, and what it all costs.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Apple-Valley-California-guide","2026-09-03"
"Baldwin Park","California","permit","","","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","Avenu","Baldwin Park short-term rental rules for 2026, why the zoning code lists no transient-rental use, what tax still applies, and who to call before you list.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Baldwin-Park-California-guide","2026-09-03"
"Bellflower","California","permit","","annually","https://cdtfa.ca.gov/formspubs/cdtfa95.pdf","","Bellflower short-term rental rules in 2026: no zoning path exists for Airbnb or Vrbo, yet the 9% lodging tax and business license fee still apply.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bellflower-California-guide","2026-09-03"
"Berkeley","California","license","$395","","https://berkeleyca.gov/city-services/livable-neighborhoods/short-term-rentals","","Berkeley's 2026 short-term rental rules, the $395 Zoning Certificate, the 90-day cap when you're away, and every tax layer that applies to hosts. Berkeley's 2026 short-term rental rules, the $395 Zoning Certificate, the 90-day cap when you're away, and every tax layer that applies to hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Berkeley-California-guide","2026-09-03"
"Big Bear Lake","California","license","","annual","","","Big Bear Lake, California Short Term Rental Regulations Guide for Airbnb hosts Big Bear Lake, California Regulations > California > Big Bear Lake Want to see how Big Bear Lake compares to other top cities in California ? Explore all city regulations in California . → B Big Bear Lake , CA Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term re","https://strprofitmap.com/regulations/CA/big-bear-lake","2026-09-03"
"Burbank","California","permit","","","https://311.burbankca.gov/","Avenu","Burbank's 2026 short-term rental rules: why the zoning code bans every stay under 30 days, what the city's TOT ordinance says, and what still works for hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Burbank-California-guide","2026-09-03"
"Carlsbad","California","ban / prohibited","$220","annual","https://documents.coastal.ca.gov/assets/la/Short_Term_Vacation_Rental_to_Coastal_Planning_&amp;_Devt_Directors_120616.pdf","","Carlsbad limits short-term rentals to its Coastal Zone and La Costa Resort area in 2026, requiring a $220 annual permit and 12% in combined city tax. Carlsbad limits short-term rentals to its Coastal Zone and La Costa Resort area in 2026, requiring a $220 annual permit and 12% in combined city tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Carlsbad-California-guide","2026-09-03"
"Chico","California","permit","","","https://chicoca.gov/City-Services/Code-Enforcement/","","Chico, California short-term rental rules for 2026: no dedicated STR permit exists, 10% city TOT applies, and Airbnb does not collect it for you.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Chico-California-guide","2026-09-03"
"Chino Hills Park","California","permit","","annual","https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260SB346","","Chino Hills, California short-term rental rules for 2026: why Airbnb and Vrbo stays under 30 days are banned citywide, and what a compliant rental looks like.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Chino-Hills-California-guide","2026-09-03"
"Chula Vista","California","permit (primary-residence limited)","","","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&amp;sectionNum=7280.","Avenu; Deckard","Chula Vista's 2026 short-term rental rules: the two-permit cap, the residency rule, the 90-day limit, permit fees, and the 10% occupancy tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Chula-Vista-California-guide","2026-09-03"
"Citrus Heights","California","license","$108","annual","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&amp;sectionNum=4741.","Avenu","The license costs $108 the first year, occupancy caps at two guests per bedroom plus two more overnight, and hosts collect a 12% transient occupancy tax on top of state and federal income tax. Citrus Heights short-term rental rules for 2026: the license fee, the 12% occupancy tax, occupancy caps, and what it takes to run a legal Airbnb here.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Citrus-Heights-California-guide","2026-09-03"
"Clovis","California","permit","$150","annually","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&amp;sectionNum=36900.","","The permit costs $150 to $271, homes are capped by bedroom count, and code enforcement checks compliance regularly. Clovis short-term rental rules for 2026: the home occupation permit, occupancy caps, 12% lodging tax, and how strictly the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Clovis-California-guide","2026-09-03"
"Compton","California","permit","","annually","https://ecode360.com/35618192","Avenu","Compton's 2026 short-term rental rules: no STR ordinance, an unclear zoning path for whole-home listings, and a 7.5% tax hosts must self-collect.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Compton-California-guide","2026-09-03"
"Contra Costa County","California","permit","$350","annual","https://contra-costa.legistar.com/LegislationDetail.aspx?ID=17614&amp;GUID=2BABEA07-8998-4C96-A1CB-9A912C9AAB6A","","Contra Costa County short-term rental rules in 2026, including the 90 and 180 night caps, the $350 permit, the 10% bed tax, and who to call. Contra Costa County short-term rental rules in 2026, including the 90 and 180 night caps, the $350 permit, the 10% bed tax, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Contra-Costa-County-California-Guide","2026-09-03"
"Daly City","California","permit (primary-residence limited)","$750","per year","https://documents.coastal.ca.gov/assets/la/Short_Term_Vacation_Rental_to_Coastal_Planning_&amp;_Devt_Directors_120616.pdf","","Daly City requires a $750 Short-Term Rental Permit plus a business license, caps unhosted nights at 100 per year, and bans whole-home vacation rentals and any property with an ADU outright in 2026. Daly City's 2026 short-term rental rules require a primary-residence permit, ban whole-home vacation rentals outright, and add a 13% city occupancy tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Daly-City-California-guide","2026-09-03"
"Downey","California","permit","","annual","https://ecode360.com/44392446","Avenu","Downey short-term rental rules in 2026: no STR permit exists, zoning bars renting a home like a hotel, and what the city's 9% lodging tax covers.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Downey-California-guide","2026-09-03"
"El Cajon","California","permit","","","https://ecode360.com/44375151","","El Cajon short-term rental rules for 2026: the 10% occupancy tax, the business license every host needs, and why there's no dedicated STR permit.","https://www.bnbcalc.com/blog/short-term-rental-regulation/El-Cajon-California-guide","2026-09-03"
"El Monte","California","permit","","","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB346","","El Monte, California bans short-term rentals citywide as of 2026, covering the zoning rules, ADU limits, the 10% lodging tax, and who to call there.","https://www.bnbcalc.com/blog/short-term-rental-regulation/El-Monte-California-guide","2026-09-03"
