"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"scopeiq","end-customer","med spa platform / MSO","LaserAway","https://www.laseraway.com/","Los Angeles, CA","240 location pages across 37 states listed on its own locations page (2026-09-03)","Largest injectables-and-laser chain operating in 37 states; every new state opening is a fresh scope-of-practice, supervision and CPOM question.","https://www.laseraway.com/contact/","chief compliance officer","https://www.laseraway.com/locations/","company-site","verified","2026-09-03","States on own locations page: AK AL AZ CA CO CT DC FL GA HI ID IL IN KS KY MA MD MI MN MO NC NE NJ NM NV NY OH OK OR PA RI TN TX UT VA WA WI. PE-backed (Ares Management/Seidler per ctacquisitions.com 2026 report; Lightyear Capital per withorbital.com June 2026 snapshot - sources disagree, both recorded, neither verified with the company). Botox, fillers, laser hair removal, body contouring."
"scopeiq","end-customer","med spa platform / MSO","Milan Laser Hair Removal","https://milanlaser.com/","Omaha, NE","""over 400+ locations in 38 states"" stated on its own homepage (2026-09-03)","Corporate-run 38-state chain; laser delegation and medical-director supervision rules differ in every one of those states.","https://milanlaser.com/locations/contact","general counsel","https://milanlaser.com/","company-site","verified","2026-09-03","Laser hair removal only, NP-led under medical director supervision. Backed by Leonard Green & Partners (2019) plus Sixth Street and Wildcat (2023) per ctacquisitions.com 2026 report. Locations page is JS-rendered so per-state list could not be parsed."
"scopeiq","end-customer","med spa platform / MSO","SkinSpirit","https://www.skinspirit.com/","Palo Alto, CA","66 location pages across 22 states listed on its own locations page (2026-09-03)","Injectable-led premium platform in 22 states; highest revenue per clinic in the category, so a mis-structured MSO is a large exposure.","https://www.skinspirit.com/contact","general counsel","https://www.skinspirit.com/locations","company-site","verified","2026-09-03","States: AZ CA CO DC FL GA HI IL KS MD MN NC NJ NY OH OR TN TX UT VA WA WI. KKR Health Care Strategic Growth Fund II minority stake Oct 2022 (ctacquisitions.com); withorbital.com lists Imaginary Ventures + TPG. Botox and filler led."
"scopeiq","end-customer","med spa platform / MSO","Sono Bello","https://www.sonobello.com/","Kirkland, WA","""over 100 locations nationwide"" on its own locations page; 42 states named (2026-09-03)","Physician-supervised body-contouring chain in 40+ states; surgical-adjacent delegation and CPOM structure is the core of its legal model.","https://www.sonobello.com/locations/","general counsel","https://www.sonobello.com/locations/","company-site","verified","2026-09-03","States named on locations page: AL AR AZ CA CO CT DE FL GA IA ID IL IN KS KY LA MA MD ME MI MN MO MS NC NE NJ NM NV NY OH OK OR PA RI SC SD TN TX UT VA WA WI. Laser liposuction, body contouring."
"scopeiq","end-customer","med spa platform / MSO","VIO Med Spa","https://www.viomedspa.com/","Nashville, TN","84 location URLs across 21 states listed on its own locations page (2026-09-03)","Fastest-growing franchised med spa brand; each franchisee opens in a new state and needs the ownership/supervision answer before signing a lease.","https://www.viomedspa.com/contact-us/","VP of franchise operations","https://www.viomedspa.com/locations/","company-site","verified","2026-09-03","States: AZ CA CT FL GA IL IN MA MD MI MO NC NJ NY OH PA TN TX UT VA WA. Freeman Spogli majority stake Sept 2024. Injectables, laser, body contouring, GLP-1 weight management."
"scopeiq","end-customer","med spa platform / MSO","Ever/Body","https://everbody.com/","New York, NY","6 states named on its own locations page: CT DC MD NY TX WA (2026-09-03)","Cosmetic dermatology chain expanding out of New York into DC/MD/TX/WA - exactly the multi-state launch decision ScopeIQ is sold against.","https://everbody.com/locations","head of operations","https://everbody.com/locations","company-site","verified","2026-09-03","Careers link on its own site points to advanced-medaesthetic-partners ATS, confirming Ever/Body now sits inside Advanced MedAesthetic Partners (acquired 19 Dec 2025 per ctacquisitions.com 2026 report). Botox, lasers, facials."
"scopeiq","end-customer","med spa platform / MSO","Advanced MedAesthetic Partners (AMP)","https://www.weramp.com/","Dallas, TX","""20+ Exceptional Brands, 77 Locations Nationwide, 21 States"" stated on its own homepage (2026-09-03)","A 21-state MSO rolling up med spas under 20+ brands; every tuck-in needs a state-specific CPOM/friendly-PC opinion before close.","https://www.weramp.com/","head of corporate development","https://www.weramp.com/","company-site","verified","2026-09-03","Subsidiary of Leon Capital Group. Portfolio names surfaced in press/own site: Ever/Body, Blush Med, Curate MedAesthetics, The Skyn Bar, Back To 30, Avelure Med Spa, LivingYoung Center, Lift Aesthetics."
"scopeiq","end-customer","med spa platform / MSO","Alpha Aesthetics Partners","https://www.partnerwithalpha.com/","El Dorado Hills, CA","16 numbered partner practices listed on its own site (partner 001 to 016), 2026-09-03","Thurston Group-backed collective of independent med spas across multiple states; each new partner practice is a fresh state structure to validate.","https://www.partnerwithalpha.com/","head of partnerships","https://www.partnerwithalpha.com/","company-site","verified","2026-09-03","Named partners on own site: Preva, LexRx, Prive, Mint + Needle, Flawless Medspa + Wellness, Inbloom Health + Medispa, Esthetics Center. Press (prnewswire via WebSearch) reports 35-37 locations in 12 states and a $93M January 2026 financing - labelled estimate, not confirmed on the company site."
"scopeiq","end-customer","med spa platform / MSO","Princeton Medspa Partners","https://princetonmedspapartners.com/","Princeton, NJ","","PE-backed acquirer of med spas, cosmetic dermatology and plastic surgery clinics nationwide; buys practices across state lines and must re-paper each one.","https://princetonmedspapartners.com/","head of corporate development","https://princetonmedspapartners.com/","company-site","verified","2026-09-03","Own site describes acquisition/integration of 16 businesses across 60+ locations nationwide (stated in an executive bio, so treated as a labelled estimate not a company-level figure). Backed by Princeton Equity Group; BC Partners also named in trade press."
"scopeiq","end-customer","med spa platform / MSO","Empower Aesthetics","https://www.empower.spa/","Austin, TX","""12 Partners, 20 Locations, 25+ Sister Companies in Healthcare"" stated on its own site (2026-09-03)","Shore Capital-backed national aesthetics platform building in TX, TN, the Midwest and upstate New York - four different CPOM regimes at once.","https://www.empower.spa/partner-with-us","head of partnerships","https://www.empower.spa/","company-site","verified","2026-09-03","Generic business mailbox partners@empower.spa published on its own site."
"scopeiq","end-customer","med spa platform / MSO","MedSpa Partners","https://medspapartners.com/","Toronto, ON (US clinics)","","Persistence Capital-backed acquirer of med spas and cosmetic dermatology clinics with a US expansion programme; cross-border entry raises the CPOM question hardest.","info@medspapartners.com","head of corporate development","https://medspapartners.com/","company-site","verified","2026-09-03","Canadian-headquartered; US acquisitions reported in trade press (Faces of South Tampa 2024, Day Dermatology & Aesthetics 2026). Generic mailbox published on its own site."
"scopeiq","end-customer","med spa platform / MSO","United Aesthetics Alliance","https://unitedaestheticsalliance.com/","","","Plastic surgery and med spa coalition acquiring non-surgical aesthetics practices across states; a partnership inquiry funnel implies a steady flow of new-state diligence.","https://unitedaestheticsalliance.com/uaa-partnership-inquiry","head of partnerships","https://unitedaestheticsalliance.com/","company-site","verified","2026-09-03","Announced partnership with LivSkin MedSpa | Laser (Minneapolis) Feb 2026 per trade press."
"scopeiq","end-customer","med spa platform / MSO","OrangeTwist","https://orangetwist.com/","Newport Beach, CA","7 states named on its own locations page: CA CO NJ NV TX VA WA (2026-09-03)","Seven-state med spa ""treatment shop"" chain expanding through acquisition; CA and NJ are two of the strictest CPOM states it already operates in.","https://orangetwist.com/contact-us/","chief operating officer","https://orangetwist.com/locations/","company-site","verified","2026-09-03","Businesswire (Jan 2026) reports a strategic alliance with SBC Medical Group Holdings and expansion to 24 locations across 6 states - labelled press figure, own site listed 7 states on 2026-09-03."
"scopeiq","end-customer","med spa platform / MSO","SEV Laser","https://sevlaser.com/","Los Angeles, CA","16 states named on its own locations page (2026-09-03)","Founder-run 16-state laser and injectables chain growing fast across the Sun Belt without a PE compliance function of its own.","https://sevlaser.com/contact/","director of operations","https://sevlaser.com/locations/","company-site","verified","2026-09-03","States: AZ CA FL GA IL MA MD MN NV NY OH PA TX UT VA WA. ~70 US sites per withorbital.com June 2026 snapshot (secondary)."
"scopeiq","end-customer","med spa platform / MSO","Elase Med Spa","https://elase.com/","Salt Lake City, UT","8 states named on its own locations page: AZ FL ID IL NC SC TX UT (2026-09-03)","Eight-state med spa group with a partnership page, i.e. actively acquiring into new states.","https://elase.com/partnership/","chief operating officer","https://elase.com/locations/","company-site","verified","2026-09-03","Injectables, laser hair removal, skin. Partnership/acquisition page published on its own site."
"scopeiq","end-customer","med spa platform / MSO","Skin Laundry","https://skinlaundry.com/","Los Angeles, CA","","Laser facial chain operating in several US states plus international; a standardised laser protocol run by non-physicians is the classic delegation question.","https://skinlaundry.com/","head of operations","https://skinlaundry.com/","company-site","verified","2026-09-03","Locations page is JS-rendered (no states parsed). withorbital.com June 2026 snapshot lists ~71 locations (secondary, not confirmed on own site)."
"scopeiq","end-customer","med spa platform / MSO","Kalologie","https://www.kalologie.com/","Las Vegas, NV","16 states named on its own locations page (2026-09-03)","Multi-state med spa and skincare chain (franchised); the franchisor carries the compliance answer for every franchisee state.","https://www.kalologie.com/contact-kalologie","franchise operations lead","https://www.kalologie.com/locations/","company-site","verified","2026-09-03","States: AZ CA CO CT FL GA IL LA MD MI NV NY OH PA TX VA. ~34 locations per withorbital.com (secondary)."
"scopeiq","end-customer","med spa platform / MSO","AYA Medical Spa","https://ayamedicalspa.com/","Atlanta, GA","","Multi-location Atlanta med spa group named in trade press as an active platform sponsor; Georgia CPOM and injector delegation rules are unsettled.","https://ayamedicalspa.com/pages/contact-us","owner-operator","https://ayamedicalspa.com/","company-site","verified","2026-09-03","Named as an active platform in AmSpa/CT Acquisitions 2026 M&A commentary."
"scopeiq","end-customer","med spa platform / MSO","Sona MedSpa","https://www.sonamedspa.com/","","","Multi-location med spa brand offering laser and injectable services under a shared brand across states.","https://www.sonamedspa.com/contact/","owner-operator","https://www.sonamedspa.com/","company-site","verified","2026-09-03","Historic franchise brand; current footprint not stated on the homepage."
"scopeiq","end-customer","med spa platform / MSO","Alchemy 43","https://alchemy43.com/","Los Angeles, CA","","Injectable-only ""aesthetics bar"" chain in CA and TX; a menu built entirely on neurotoxin and filler makes injector scope the whole business model.","https://alchemy43.com/contact/","head of operations","https://alchemy43.com/","company-site","verified","2026-09-03",""
