# HAND-AUTHORED 2026-08-13. This file is typed and stays typed. Every value in the sizing column reads Uncounted, Unmeasured or Not sized because it was typed that way, not because a job measured and found nothing. crm.segments.refresh - specified in CRM.md section 3 to recompute each segment's observable-signal counts - is NOT BUILT (checked against app/src/worker/jobs.ts, 2026-08-13), so the observable_signal column describes signals a future job would read from first-party data, not signals anything currently reads. CRM.md section 2's write-permission table describes an intended boundary, not an enforced one.
# FORMAT: lines beginning with # are provenance preamble and are skipped by any reader.
segment_id,state_scope,trade_family,construction_type,project_count_band,portal_mandate,observable_signal,where_observed,entry_point,offer_fit,verdict,sizing,rationale,evidence
SEG-01,CA,Electrical; plumbing and pipefitting; sprinkler fitting; sheet metal and HVAC,Building,3-9 active DBA projects,"CA DIR eCPR (statutory) plus, often, a GC portal",Project setup selects a CA determination and funding source federal-or-Related-Act; payroll CSV carries 3 or more distinct project ids across 2 or more counties; the account requests eCPR XML,First-party: project setup fields and the uploaded CSV's own columns. No third-party data,"/wd/[number]/changes for a CA determination, then the modification-diff tool",Crew ($249/mo),PURSUE — this is the beachhead,"Uncounted. No source splits DOL's 122,936 WH-347 respondents (89 FR 70670) by open shop, tier or headcount, and none is invented here",The multi-project multi-county qualifier is doing the work: at one project the provenance problem fits in your head. CA is the launch demand market and the only state regime in v1,"IDEA_DOSSIER.md D1, D3; BRAND.md §1 Step 1; research/03-communities-and-lists.md §1"
SEG-02,CA,As SEG-01,Building,3-9 active DBA projects,GC mandates LCPtracker or a similar portal,Project setup marks a GC portal as the receiving party; the account downloads the generic CSV export rather than only the PDF,First-party: export events on the account,"The eCPR / export-format page, entered from the filing-mechanics query family — the one SERP family held by vendor docs rather than marketing",Crew ($249/mo),PURSUE — but only with the feed framing,Uncounted,Never position against the portal. The honest v1 sentence is that we emit the eCPR XML against the published schema and a generic one-row-per-worker-per-day CSV built from the WH-347 field set; we do not hold portal credentials and do not submit. A sub mandated onto LCPtracker still owes DIR a separate submission,research/04-integrations-and-portals.md §2.3; BRAND.md §6.6; IDEA_DOSSIER.md D9
SEG-03,"Any state, federal WH-347 only",All trades in the determination's own classification list,Building; Heavy; Highway; Residential — the constructionTypes split the corpus already carries,3-9 active DBA projects,None,Project setup selects a non-CA determination; no state XML is requested; the CSV spans 2 or more determinations,First-party: project setup and CSV,T4 change log for the determinations covering their counties,Crew ($249/mo),PURSUE — the federal form is the launch deliverable nationally on day one,Uncounted,The artifact ships nationally; only the state XML is CA-only. This segment is served completely by v1 and must not be told otherwise,"IDEA_DOSSIER.md D3, D9; CORPUS_DESIGN.md §2.7 constructionTypes"
SEG-04,Any,Heavy and highway civil; earthwork; paving,Heavy; Highway,10+ active DBA projects,Mixed,"Payroll CSV carries 10 or more distinct project ids; determination-to-county fan-out above the corpus mean of 3.35 counties per determination (14,195 county rows across 4,236 active determinations, measured 2026-08-13)",First-party CSV plus our own corpus geometry,T1 state hub then T4,Multi ($599/mo),PURSUE second — after the beachhead has filings,Uncounted,"One determination covering many counties is the case where a single modification moves many filings at once, which is exactly what the change log and the regenerate action are for",research/02-demand-seo.md §5; CORPUS_DESIGN.md §2.7
SEG-05,Any,Any,Any,"1 active DBA project, 1 county",None,Single project id in the CSV; single county in project setup; no eCPR request,First-party CSV and setup,"The free WH-347 generator, with no upsell above the fold",Free tier only,"DECLINE AND REFER - quote the competitor prices and stop, drawing no conclusion",Uncounted,"CORRECTED 2026-08-13. The cell previously read: say plainly that LCPcertified at $12 per report is cheaper for them, followed by a three-word causal clause asserting that the comparison is simply true - and called that the single most credible sentence on the site. The vendor page does not establish it. On lcptracker.com/solutions/lcpcertified/ (read 2026-08-13) $12 Per Report is the FIRST LINE ITEM INSIDE THE PLUS PACKAGE, immediately above Up to 5 Active Projects: $145/Month; it is not established as a standalone no-subscription option, and the Professional package ends in Contact us for Unlimited Project Pricing. If $12 per report requires the Plus subscription, a single-project weekly filer pays roughly $145/mo plus $12 per report, about $1,740 a year, against Ratepin Solo at $1,188 a year - and the referral is backwards. The sanctioned sentence quotes and declines to conclude: LCPtracker publishes LCPcertified at $12 per report and $145/month for up to 5 active projects (lcptracker.com, read 2026-08-13). If you file for one project in one county, price both before you buy here. The causal clause is deleted, not softened. BRAND.md section 3.6 and CORRECTIONS.md X-4 both require a competitor price quoted verbatim with its date and never characterised into a conclusion; X-4 struck a false claim about a competitor price that flattered us, and this was the same epistemic error flattering them. The strategic point survives intact: disqualifying the wrong buyer before they pay protects the refund rate and therefore A6. crm.competitor.diff (NOT BUILT) is specified to hash-diff this page weekly so the quotation rots loudly rather than quietly; until it exists, the read date is the only guard and the sentence must not be printed without it","BRAND.md §1 Step 5, §6.3, §6.6; lcptracker.com/solutions/lcpcertified/ read 2026-08-13 by CORRECTIONS.md X-4"
SEG-06,Any,Any union-signatory shop,Any,Any,Any,"Signup asks whether fringes come from a CBA schedule; the answer is a closed field, not free text",First-party: signup,None. The signup path stops,None,REFUSE AT SIGNUP — never approximate,Uncounted,"Union CBA fringe schedules are not present in public wage determinations. D9 refuses them rather than guessing, and the refusal happens before payment, not after",IDEA_DOSSIER.md D9; BRAND.md §6.4
SEG-07,CA,Any,Any,Any,CA DIR eCPR,"Project setup selects funding source Related Act (state or local grant-funded, DBRA by flow-down)",First-party: project setup,"T2 county hub for their county, which carries the §4 disambiguation naming the regime in the first line",Solo or Crew,PURSUE — and note this segment is invisible to every federal award feed,"Uncounted, and structurally uncountable: Related Acts work produces no contractor rows in USASpending at all",This is the clearest demonstration that the award feed is not a list of D1. It is also the segment CH-20 was retired over,research/03-communities-and-lists.md §3; phase-1-ideation/research/01-demand-pmf.md §4
SEG-08,Any,Specialty trades sitting under another subcontractor,Any,Any,Any,Project setup names a prime that is not the awarding agency's direct contractor,First-party: project setup,T4 change log; prime-to-sub award pages where the relation happens to be reported,Solo or Crew,PURSUE — reachable only through the owned surface,"Uncounted, and systematically under-reported: FAR 52.204-10(d)(2) reports first-tier subcontracts only, so a sub under a sub generates no row at any threshold",Second-tier subs are a real part of D1 and are absent from every public feed. Any channel that depends on a feed cannot see them; a page they can find can,research/03-communities-and-lists.md §3; acquisition.gov/far/52.204-10 read 2026-08-13
SEG-09,Any,Any,Any,"Pre-award — bidding, not yet filing",n/a,A diff-tool or rate-page session that enters a determination number with a future or recent bid date and no payroll upload,First-party: tool session shape,"The $49 bid rate card, purchasable before an account exists",$49 one-time,"PURSUE as an acquisition instrument, not a revenue line",Uncounted,"At $46.98 contribution and instantaneous payback, each unit funds roughly its own value of paid acquisition with no payback risk. That is its job, and it is the meter T3 is scored on","phase-1-ideation/research/03-gtm-pricing.md §5, §6"
SEG-10,Any,Any,Any,Any,Any,"The determination pinned to one of their projects has published a modification since the award date — a fact our own mirror computes, not a fact anyone tells us",First-party: the pinned mirror plus the account's own pins,"The modification-diff tool, entered with determination number and award date",Crew (alerts plus one-click regenerate),PURSUE — the highest-intent moment in the whole product,"Bounded above by 5,188 supersession events across the active corpus (9,424 revision documents minus 4,236 active determinations, measured 2026-08-13) — 1.1% of the naive county-by-class ceiling","This is the only segment defined by an event rather than a firmographic, and the event is the one thing our corpus can see that nobody else publishes","research/02-demand-seo.md §5, §6.1; research/01-channels.md §5 T1"
SEG-11,Any,Any,Any,Any,Any,Payroll export file header matches the QuickBooks Online payroll detail or Gusto payroll journal CSV shape,First-party: the uploaded file's own header row,"The free generator, which accepts the same file",Solo or Crew,PURSUE — build the importer against these two exports first,Unmeasured (H-I2). The first 25 accounts settle it,The general-purpose payroll systems export cleanly and the construction ERPs do not. D1's buyer at 5-75 field employees is likelier to be on QuickBooks or Gusto than on a construction ERP,research/04-integrations-and-portals.md §3.1
SEG-12,Any,Any,Any,Any,Any,Payroll system is Foundation (solves certified payroll natively) or Sage 100 Contractor (Sage's own community hub states there is no CSV or XML version of any certified payroll report),"First-party: signup asks, with a closed list","A documented manual CSV shape, stated as such",Weak fit at any tier,"SERVE HONESTLY, DO NOT TARGET",Unmeasured,Foundation is a substitute rather than a feeder. Sage needs a custom report writer. Telling this segment the import will be easy would be the first untrue sentence in the funnel,research/04-integrations-and-portals.md §3.1
SEG-13,NY; WA; MD; IL and every other state regime,Any,Any,Any,State XML or state CSV regime,A county hub page is requested for a county sitting under its own state prevailing-wage regime,First-party: page request,"The county hub, which names the regime in the first line and LINKS OUT to the state regulator rather than answering for it",None in v1,OUT OF SCOPE — v1 covers the federal WH-347 nationally and California eCPR only,"Not sized, because it is not served","The highest-intent phrasing is often another regime's: a Los Angeles County craft-rate query returns dir.ca.gov above everything, and that is correct for the searcher. Pretending to serve it is the failure mode; naming the regime and linking out is the honest page",research/02-demand-seo.md §4; IDEA_DOSSIER.md D9
SEG-14,Any,"n/a — general contractors, awarding agencies and public owners",Any,Any,They are the portal,Not observed. We do not profile the recipients of our customers' artifacts,"Nowhere. Verification-URL loads are counted in aggregate by referrer class only, never resolved to an organisation",None,None,NOT D1 — a different product,n/a,"GCs and agencies are filed under cares-little. The artifact loop's second hop runs through them and we neither control nor observe it, which is one of the six reasons the loop is instrumented rather than planned against",BRAND.md §1 Step 5; research/01-channels.md §6
SEG-15,Any,"n/a — payroll bureaus, CPA firms and outsourced back offices filing on behalf of subs",Any,Multi-client,Any,Signup indicates filing on behalf of clients rather than as the signing contractor,First-party: signup,None built,None in v1,OUT — D1 excludes payroll bureaus,n/a,The statement of compliance is signed by the contractor. A bureau is a different buyer with a different liability and would need a multi-tenant model v1 does not have,"IDEA_DOSSIER.md D1, D9"
SEG-16,Any,Service Contract Act covered work,n/a,Any,n/a,Project setup offers no SCA option; an SCA determination number entered into the diff tool resolves to the SCA corpus and the tool says so,First-party: the determination number's own type,"A stated boundary, not an entry point",None,"OUT OF SCOPE — stated in the boundary list, not discovered after payment",n/a,"SCA determinations are excluded from v1. The corpus can tell an SCA determination from a DBA one, so the refusal is computed rather than asserted","IDEA_DOSSIER.md D9; CORRECTIONS.md X-1 (the resold series' type split, read 2026-08-13)"
