segment,name,url,contact_page,fit_rationale,suggested_offer,stage,source_url,notes
"A — Bookkeeping & accounting","LedgerGurus","https://ledgergurus.com/","https://ledgergurus.com/contact/","Upstream. Ecommerce-specialist bookkeeping that explicitly handles Amazon settlement reports, fees and reimbursements — they see the revenue line go dark before the seller has diagnosed why.","referral fee","identified","https://ledgergurus.com/","research/partners.md Segment A row 1. Audience size not published — field left empty. No partner program found."
"A — Bookkeeping & accounting","EcomBalance","https://ecombalance.com/","https://ecombalance.com/contact-us/","Upstream. Amazon/ecommerce-specialist bookkeeping; holds the P&L that evidences the seller-supplied daily loss figure during a suspension.","referral fee","identified","https://ecombalance.com/","research/partners.md Segment A row 2. 15+ years stated on own site. Audience size not published."
"A — Bookkeeping & accounting","Xendoo","https://xendoo.com/","https://xendoo.com/contact-us/","Upstream. Bookkeeping and accounting for Amazon sellers; first call for many sellers when the numbers stop making sense.","referral fee","identified","https://xendoo.com/","research/partners.md Segment A row 3. Audience size not published."
"A — Bookkeeping & accounting","1-800Accountant","https://1800accountant.com/industry/amazon-sellers","https://1800accountant.com/contact-us/","Upstream. National accounting/tax brand with a dedicated Amazon-seller practice page.","referral fee","identified","https://1800accountant.com/industry/amazon-sellers","research/partners.md Segment A row 4. Higher potential volume, lower per-partner intimacy — expect a longer, more procedural cycle than the boutique firms."
"A — Bookkeeping & accounting","Fully Accountable","https://fullyaccountable.com/amazon-seller-accounting-services/","https://fullyaccountable.com/contact/","Upstream. Amazon-seller-specific accounting: bookkeeping, tax, expense management, inventory accounting.","referral fee","identified","https://fullyaccountable.com/amazon-seller-accounting-services/","research/partners.md Segment A row 5. Audience size not published."
"A — Bookkeeping & accounting","Seller CPA","https://www.sellercpa.com/","https://www.sellercpa.com/contact","Upstream. Multi-channel ecommerce CPA firm with an Amazon focus.","referral fee","identified","https://www.sellercpa.com/","research/partners.md Segment A row 6. Audience size not published."
"A — Bookkeeping & accounting","AMZ Accountant","https://amzaccountant.com/","","Upstream. Amazon seller accounting services.","referral fee","identified","https://amzaccountant.com/","research/partners.md Segment A row 7. Contact route is a site contact form; exact URL not captured in research. Locate it on the live site before this row advances to researched."
"A — Bookkeeping & accounting","Finaloop","https://www.finaloop.com/","https://www.finaloop.com/contact-us","Upstream. Automated ecommerce accounting platform with built-in Amazon data ingestion — a suspension is visible in their data feed immediately.","content collab; referral fee","identified","https://www.finaloop.com/","research/partners.md Segment A row 8. Content-collab angle: a co-branded piece on what a suspension does to the books."
"B — Ecommerce agency / account management","My Amazon Guy","https://myamazonguy.com/","https://myamazonguy.com/contact/","Upstream. Seller Central management agency (PPC, SEO, design, catalog) that fields the panicked client call first and has no in-house appeal remedy. Largest-reach agency prospect in the research set.","referral fee; content collab","identified","https://myamazonguy.com/","research/partners.md Segment B row 9. Self-published scale: 500+ team, 300+ brands managed — their figures, not verified. Same organization as the YouTube row in Segment J; treat as one relationship across two surfaces."
"B — Ecommerce agency / account management","SalesDuo","https://salesduo.com/","https://salesduo.com/contact-us","Upstream. Full-service Amazon growth agency that already monitors client account health but does not draft appeals — the gap is a line item, not a new service.","bundle","identified","https://salesduo.com/","research/partners.md Segment B row 10. Strongest bundle fit in Segment B because the monitoring motion already exists on their side."
"B — Ecommerce agency / account management","Enso Brands","https://ensobrands.com/","","Upstream. Amazon brand management agency handling storefront and Seller Central management for client brands.","referral fee","identified","https://ensobrands.com/","research/partners.md Segment B row 11. Contact route is a site contact form; exact URL not captured. Verify before drafting."
"B — Ecommerce agency / account management","Junglr","https://junglr.com/","","Upstream. Amazon PPC and marketing management agency for brands; also publishes a PPC-strategy podcast.","content collab","identified","https://junglr.com/","research/partners.md Segment B row 12. Same organization as the Junglr podcast row in Segment J. The podcast host is named in the source research; no personal name is recorded here, per the ethics rule."
"B — Ecommerce agency / account management","eCommerce Nurse","https://ecommercenurse.com/","","Upstream. Amazon and TikTok Shop growth agency serving vendors and sellers.","referral fee","identified","https://ecommercenurse.com/","research/partners.md Segment B row 13. Contact route is a site contact form; exact URL not captured."
"C — Amazon aggregator","Thrasio","https://www.thrasio.com/","","Upstream, highest value per event. Operates a portfolio of acquired 3P Amazon brands, so one relationship aggregates many suspension events across owned accounts.","bundle","identified","https://www.thrasio.com/","research/partners.md Segment C row 14. Re-emerged smaller and more selective after 2024 Chapter 11 per research. The 200-brands figure is self-published and historical — do not repeat it as current. Contact route is a site form; exact URL not captured."
"C — Amazon aggregator","SellerX","https://www.sellerx.com/about/","","Upstream. Berlin-based Amazon aggregator and brand builder operating a multi-brand portfolio.","bundle","identified","https://www.sellerx.com/about/","research/partners.md Segment C row 15. Re-fetch verified their own page: founded in Berlin 2020, ""from an Amazon aggregator into a global brand builder"", over 20 brands, presence across Europe/Asia/North America. The ~465–600 employee figure comes from 2026 third-party reporting, not the company's own page — directional only, do not cite in outreach. The earlier ""5 continents"" phrasing is NOT supported by their page and has been corrected."
"C — Amazon aggregator","Razor Group","https://razor-group.com/","","Upstream. Consolidated Amazon aggregator following the absorption of several other portfolios; large owned-brand footprint.","bundle","identified","https://razor-group.com/","research/partners.md Segment C row 16. Contact form reported on the homepage via third-party reporting — confirm on the live site before this row advances."
"D — Monitoring & seller tools (adjacent-detect)","SellerSonar","https://sellersonar.com/","","Adjacent-detect. Listing and account-health monitoring and alerts with no remedy to sell — named in IDEA_DOSSIER §5.1/§6.5 as a partial substitute and a natural BD partner.","content collab, then referral fee","identified","https://sellersonar.com/","research/partners.md Segment D row 17. Lead with content, not a referral ask: alerts tell a seller something broke; we draft the way back in. Contact route is a site form; exact URL not captured."
"D — Monitoring & seller tools (adjacent-detect)","Helium 10","https://www.helium10.com/","https://www.helium10.com/contact-us/","Adjacent-detect. Bundled account-health alerts inside a broad seller tool suite; the alert fires and nothing on their side resolves it.","content collab","identified","https://www.helium10.com/","research/partners.md Segment D row 18. Also owns the Serious Sellers Podcast row in Segment J and a self-reported ~70k-member Facebook group. Podcast collaboration is the more tractable entry point than a platform integration — treat as one relationship, several surfaces."
"D — Monitoring & seller tools (adjacent-detect)","AmzMonitor","https://amzmonitor.com/","","Adjacent-detect. Competitor and listing monitoring — new sellers, Buy Box changes, hijackers, keyword rank — with no appeal capability.","content collab; referral fee","identified","https://amzmonitor.com/","research/partners.md Segment D row 19. Contact route is a site form; exact URL not captured."
"D — Monitoring & seller tools (adjacent-detect)","SmartScout","https://www.smartscout.com/","support@smartscout.com","Adjacent-detect. Amazon seller data and analytics platform that publishes an annual seller survey — a co-branded data angle on who gets suspended fits their existing editorial format.","content collab","identified","https://www.smartscout.com/","research/partners.md Segment D row 20. Contact is their published support address, verified in the site footer on re-fetch; not a personal mailbox. REVIEW CORRECTION: the Voice of the Amazon Seller survey (cited as external data in IDEA_DOSSIER §4.3) was NOT found on smartscout.com's homepage on re-fetch — confirm the survey is current before pitching a data collab built on it."
