"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - Alabama State University","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-alabama-state-university/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - Greater Birmingham","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-greater-birmingham/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - Jacksonville State University","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-jacksonville-state-university/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - South Alabama","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-south-alabama/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - Troy University","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-troy-university/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - Tuscaloosa HQ","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-tuscaloosa-hq/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - University of Alabama in Huntsville (College of Business)","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-university-of-alabama-in-huntsville-college-of-business/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alabama APEX Accelerator - University of North Alabama (UNA)","","Alabama","listed in the National APEX Accelerator Alliance locator for Alabama","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alabama-apex-accelerator-university-of-north-alabama-una/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alabama'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alaska APEX Accelerator - Anchorage Center HQ","","Alaska","listed in the National APEX Accelerator Alliance locator for Alaska","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alaska-apex-accelerator-anchorage-center-hq/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alaska'; NAPEX does not publish the accelerator's own URL in this record"
"wagelens","partner","APEX Accelerator","Alaska APEX Accelerator - Fairbanks Center","","Alaska","listed in the National APEX Accelerator Alliance locator for Alaska","Federally funded APEX Accelerator (formerly PTAC) that counsels small firms entering government contracting; its clients hit Davis-Bacon and WH-347 on their first federal construction award, so it is a natural referral and co-training partner.","","program manager or procurement counselor","https://www.napex.us/location/alaska-apex-accelerator-fairbanks-center/","directory","verified","2026-09-03","National APEX Accelerator Alliance locator, queried by state 'Alaska'; NAPEX does not publish the accelerator's own URL in this record"
