"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"recoup","end-customer","multi-unit restaurant franchisee","Flynn Group","https://flynn.com","San Francisco, CA","2855 restaurants across 6 brand(s) (Pizza Hut, Applebee’s, Arby’s, Wendy’s); 2,748 franchised units; 2828 franchised units","Multi-unit restaurant franchisee ranked #1 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://flynn.com/contact","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 1 (2025 list, FY2024 data). Reported sales $4,783,000,000. Very large operator - likely has in-house real-estate staff, lower fit. Also listed as ""Flynn Group"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""Flynn Group"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Sun Holdings","https://sunholdings.net","Dallas, TX","951 restaurants across 7 brand(s) (Arby’s, Papa John’s, Burger King, Applebee’s); 1,680 franchised units; 997 franchised units","Multi-unit restaurant franchisee ranked #2 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://sunholdings.net/contact/","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 2 (2025 list, FY2024 data). Reported sales $2,300,000,000. Very large operator - likely has in-house real-estate staff, lower fit. Also listed as ""SUN Holdings"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""SUN Holdings Llc"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Dhanani Group","https://dhananigroupinc.com","Sugar Land, TX","1488 restaurants across 5 brand(s) (Burger King, Popeyes, Pizza Hut, Dunkin’)","Multi-unit restaurant franchisee ranked #3 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://dhananigroupinc.com/contact/","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 3 (2025 list, FY2024 data). Reported sales $1,900,000,000. Revenue is a Franchise Times estimate. Very large operator - likely has in-house real-estate staff, lower fit."
"recoup","end-customer","multi-unit restaurant franchisee","KBP Brands","https://kbpbrands.com","Leawood, KS","1094 restaurants across 5 brand(s) (KFC, Arby’s, Sonic Drive-In, Taco Bell); 1,224 franchised units; 1235 franchised units","Multi-unit restaurant franchisee ranked #4 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://kbpbrands.com/contact","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 4 (2025 list, FY2024 data). Reported sales $1,590,000,000. Very large operator - likely has in-house real-estate staff, lower fit. Also listed as ""KBP Brands"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""KBP Brands"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Sizzling Platter","https://sizzlingplatter.com","Murray, UT","812 restaurants across 7 brand(s) (Little Caesars, Wingstop, Jamba, Jersey Mike’s); 869 franchised units","Multi-unit restaurant franchisee ranked #5 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://sizzlingplatter.com/contact","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 5 (2025 list, FY2024 data). Reported sales $1,136,000,000. Very large operator - likely has in-house real-estate staff, lower fit. Also listed as ""Sizzling Platter"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html."
"recoup","end-customer","multi-unit restaurant franchisee","HAZA Group","https://hazagroup.com","Sugar Land, TX","573 restaurants across 2 brand(s) (Wendy’s, Taco Bell); 568 franchised units; 351 franchised units","Multi-unit restaurant franchisee ranked #6 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://hazagroup.com/contact/","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 6 (2025 list, FY2024 data). Reported sales $1,010,000,000. Also listed as ""Haza Group"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""Haza Group"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Anchor Point Management Group","","Vancouver, WA","364 restaurants across 3 brand(s) (Taco Bell, Buffalo Wild Wings, 7 Brew); 457 franchised units","Multi-unit restaurant franchisee ranked #7 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","secondary","2026-09-03","Franchise Times Restaurant 200 rank 7 (2025 list, FY2024 data). Reported sales $952,000,000. Also listed as ""Anchor Point Management/pacific Bells"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""Anchor Point Management / PACIFIC BELLS LLC"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Diversified Restaurant Group","","Las Vegas, NV","368 restaurants across 2 brand(s) (Taco Bell, Arby’s); 365 franchised units","Multi-unit restaurant franchisee ranked #8 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","secondary","2026-09-03","Franchise Times Restaurant 200 rank 8 (2025 list, FY2024 data). Reported sales $803,000,000. Also listed as ""Diversified Restaurant Group"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""Diversified Restaurant Group"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","WKS Restaurant Group","","Cypress, CA","373 restaurants across 4 brand(s) (Wendy’s, Denny’s, El Pollo Loco, Krispy Kreme); 371 franchised units","Multi-unit restaurant franchisee ranked #9 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","secondary","2026-09-03","Franchise Times Restaurant 200 rank 9 (2025 list, FY2024 data). Reported sales $792,000,000. Also listed as ""WKS Restaurant Group"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""WKS Restaurant Group"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
"recoup","end-customer","multi-unit restaurant franchisee","Tacala","https://tacala.com","Birmingham, AL","386 restaurants across 2 brand(s) (Taco Bell, 7 Brew); 386 franchised units; 392 franchised units","Multi-unit restaurant franchisee ranked #10 in the Franchise Times Restaurant 200; leases every site in strip and pad locations and receives a CAM reconciliation from each landlord.","https://tacala.com/contact-us/","director of real estate","https://www.franchisetimes.com/app/2025-Franchise-Times-Restaurant-200.pdf","list-article","verified","2026-09-03","Franchise Times Restaurant 200 rank 10 (2025 list, FY2024 data). Reported sales $779,000,000. Also listed as ""Tacala"" in https://www.franchising.com/articles/20260228_2026_mega99rankings.html. Also listed as ""Tacala Llc"" in https://www.franchising.com/articles/20260606_2026_multibrand_50_scale_evolves_into_strategy.html."
